,opera,total_words,correct_lemmas,correct_pos,lemma_accuracy,pos_accuracy
113,polybius1-30-39-2017.xml,3201,2377,2281,0.743,0.713
114,polybius1-40-49-2017.xml,3441,2573,2501,0.748,0.727
115,polybius1-50-59-2017.xml,3027,2264,2206,0.748,0.729
116,polybius1-60-69-2017.xml,3114,2277,2192,0.731,0.704
117,polybius1-70-79-2017.xml,3020,2230,2186,0.738,0.724
118,polybius1-80-88-2017.xml,2705,1981,1930,0.732,0.713
119,ps-xen-ath-pol-bu2.xml,3717,2693,2509,0.725,0.675
120,thuc-1-1-20-bu5.xml,3397,2487,2368,0.732,0.697
121,thuc-1-101-120-bu2.xml,3086,2224,2236,0.721,0.725
122,thuc-1-121-146-bu3.xml,5374,3804,3642,0.708,0.678
123,thuc-1-21-40-bu4.xml,3731,2639,2474,0.707,0.663
124,thuc-1-41-60-bu3.xml,2743,1972,1969,0.719,0.718
125,thuc-1-61-80-bu3.xml,3795,2681,2586,0.706,0.681
126,thuc-1-81-100-bu2.xml,3162,2275,2232,0.719,0.706
127,thuc-3-1-20-bu1.xml,2987,2115,2067,0.708,0.692
128,thuc-3-21-40-bu1.xml,3914,2766,2719,0.707,0.695
129,xen-cyr-1-1-2-bu1.xml,2516,1798,1652,0.715,0.657
130,xen-cyr-1-3-4-bu1.xml,5490,3889,3763,0.708,0.685
131,xen-cyr-1-5-bu1.xml,1216,886,794,0.729,0.653
132,xen-cyr-1-6-bu1.xml,4925,3391,3168,0.689,0.643
133,xen-cyr-7-1-3-tree.xml,5395,3797,3709,0.704,0.687
134,xen-cyr-7-4-5-tree.xml,5389,3830,3589,0.711,0.666
135,xen-cyr-8-1-8-4-bu1.xml,9795,6847,6339,0.699,0.647
136,xen-cyr-8-5-7-bu1.xml,4889,3599,3227,0.736,0.66
137,xen-cyr-8-8-bu1.xml,1556,1149,1010,0.738,0.649
138,xen-hell-1-1-4-bu2.xml,4123,2950,3013,0.715,0.731
139,xen-hell-1-5-7-bu1.xml,4389,3074,3153,0.7,0.718
140,xen-hell-2-bu1.xml,9030,6371,6263,0.706,0.694
141,xen-hell-3-bu1.xml,9809,6942,6908,0.708,0.704
