Forma;Lemma originale;Lemma corretto;Postag originale;Postag corretto;Tipo modifica
ἐκέχρηντο;['χράω2'];['χράω'];['v3plie---'];['v3plie---'];lemma
ἐκέχρηντ᾽;['χράω2'];['χράω'];['v3plie---'];['v3plie---'];lemma
ἐκαθέζετο;['κατά-καθέζομαι'];['καθέζομαι'];['v3siim---'];['v3siim---'];lemma
ἐκαθέζοντο;['κατά-καθέζομαι'];['καθέζομαι'];['v3piim---'];['v3piim---'];lemma
ἐκαθέζου;['κατά-καθέζομαι'];['καθέζομαι'];['v2siim---'];['v2siim---'];lemma
ἐκδεξάμενος;['ἐκδείκνυμι'];['ἐκδέχομαι'];['v-sapmmn-'];['v-sapmmn-'];lemma
ἐκδύσαντες;['ἐκ-δύω1'];['ἐκδύω'];['v-papamn-'];['v-papamn-'];lemma
ἐκθορόντι;['ἐκ-θρῴσκω'];['ἐκθρῴσκω'];['v-sapamd-'];['v-sapamd-'];lemma
ἐκκοιλαίνοντα;['ἐκ-κοιλαίνω'];['ἐκκοιλαίνω'];['v-sppama-'];['v-sppama-'];lemma
ἐκλάσθησαν;['κλάω'];['κλαίω'];['v3paip---'];['v3paip---'];lemma
ἐκλέξαι;['ἐκ-λέγω3'];['ἐκλέγω'];['v--ana---'];['v--ana---'];lemma
ἐκλέξαντα;['ἐκ-λέγω3'];['ἐκλέγω'];['v-sapama-'];['v-sapama-'];lemma
ἐκλέξαντος;['ἐκ-λέγω1'];['ἐκλέγω'];['v-sapamg-'];['v-sapamg-'];lemma
ἐκλέξας;['ἐκ-λέγω3'];['ἐκλέγω'];['v-sapamn-'];['v-sapamn-'];lemma
ἐκλέξωσι;['ἐκ-λέγω3'];['ἐκλέγω'];['v3pasa---'];['v3pasa---'];lemma
ἐκλείσθη;['κλείω1'];['κλείω'];['v3saip---'];['v3saip---'];lemma
ἐκλελέχθαι;['ἐκ-λέγω3'];['ἐκλέγω'];['v--rne---'];['v--rne---'];lemma
ἐκλελυμένως;['ἐκλελυμένως', 'ἐκλύω'];['ἐκλελυμένως'];['d--------'];['d--------'];lemma
ἐκπεπλασμένου;['ἐκ-πλάσσω'];['ἐκπλάσσω'];['v-srpeng-'];['v-srpeng-'];lemma
ἐκπεπτωκέναι;['ἐκπίτνω'];['ἐκπίπτω'];['v--rna---'];['v--rna---'];lemma
ἐκπεπτωκυίας;['ἐκπίτνω'];['ἐκπίπτω'];['v-prpafa-'];['v-prpafa-'];lemma
ἐκπεπτωκυῖαν;['ἐκπίτνω'];['ἐκπίπτω'];['v-srpafa-'];['v-srpafa-'];lemma
ἐκπεπτωκότας;['ἐκπίτνω'];['ἐκπίπτω'];['v-prpama-'];['v-prpama-'];lemma
ἐκπεπτωκότες;['ἐκπίτνω'];['ἐκπίπτω'];['v-prpamn-'];['v-prpamn-'];lemma
ἐκπεπτωκότων;['ἐκπίτνω'];['ἐκπίπτω'];['v-prpamg-'];['v-prpamg-'];lemma
ἐκπεπτώκει;['ἐκπίτνω'];['ἐκπίπτω'];['v3slia---'];['v3slia---'];lemma
ἐκπεριελθόντων;['ἐκ-περιέρχομαι'];['ἐκπεριέρχομαι'];['v-papamg-'];['v-papamg-'];lemma
ἐκπεσεῖν;['ἐκπίτνω'];['ἐκπίπτω'];['v--ana---'];['v--ana---'];lemma
ἐκπεσόντα;['ἐκπίτνω'];['ἐκπίπτω'];['v-sapama-'];['v-sapama-'];lemma
ἐκπεσόντας;['ἐκπίτνω'];['ἐκπίπτω'];['v-papama-'];['v-papama-'];lemma
ἐκπεσόντες;['ἐκπίτνω'];['ἐκπίπτω'];['v-papamn-'];['v-papamn-'];lemma
ἐκπεσόντος;['ἐκπίτνω'];['ἐκπίπτω'];['v-sapamg-'];['v-sapamg-'];lemma
ἐκπεσόντων;['ἐκπίτνω'];['ἐκπίπτω'];['v-papamg-'];['v-papamg-'];lemma
ἐκπεσών;['ἐκπίτνω'];['ἐκπίπτω'];['v-sapamn-'];['v-sapamn-'];lemma
ἐκπεσὼν;['ἐκπίτνω'];['ἐκπίπτω'];['v-sapamn-'];['v-sapamn-'];lemma
