;form;lemmi;postag
298;ἀπαλλαγήσεσθαι;['ἀπαλλάσσω'];['v--fnp---']
299;ἀπαντῶντες;['ἀπαντάω'];['v-pppamn-']
300;ἀπέβαλε;['ἀποβάλλω'];['v3saia---']
301;ἀπέγνω;['ἀπογιγνώσκω'];['v3saia---']
302;ἀπέδειξαν;['ἀποδείκνυμι'];['v3paia---']
303;ἀπέθανε;['ἀποθνῄσκω'];['v3saia---']
304;ἀπέστειλε;['ἀποστέλλω'];['v3saia---']
305;ἀπεδέξαντο;['ἀποδέχομαι'];['v3paim---']
306;ἀπειροκαλίαν;['ἀπειροκαλία'];['n-s---fa-']
307;ἀπεκρίνατο;['ἀποκρίνω'];['v3saim---']
308;ἀπελείφθησαν;['ἀπολείπω'];['v3paip---']
309;ἀπελθόντα;['ἀπέρχομαι'];['v-sapama-']
310;ἀπετρέποντο;['ἀποτρέπω'];['v3piim---']
311;ἀπήντησαν;['ἀπαντάω'];['v3paia---']
312;ἀπῆλθον;['ἀπέρχομαι'];['v3paia---']
313;ἀπηκριβωμένος;['ἀπακριβόομαι'];['v-srpmmn-']
314;ἀπηλλάγη;['ἀπαλλάσσω'];['v3saip---']
315;ἀπηλλαγμένος;['ἀπαλλάσσω'];['v-srpmmn-']
316;ἀπηχθάνοντο;['ἀπεχθάνομαι'];['v3piim---']
317;ἀπισχυρίσασθαι;['ἀπισχυρίζομαι'];['v--anm---']
318;ἀπὸ;['ἀπό'];['r--------']
319;ἀποβλέποντες;['ἀποβλέπω'];['v-pppamn-']
320;ἀποθανούσης;['ἀποθνῄσκω'];['v-sapafg-']
321;ἀποθανών;['ἀποθνῄσκω'];['v-sapamn-']
322;ἀποθνῄσκειν;['ἀποθνῄσκω'];['v--pna---']
323;ἀποκινδυνεύσαντες;['ἀποκινδυνεύω'];['v-papamn-']
324;ἀποκοπὰς;['ἀποκοπή'];['n-p---fa-']
325;ἀποκριναμένου;['ἀποκρίνω'];['v-sapmmg-']
326;ἀποκτενοῦντες;['ἀποκτείνω'];['v-pfpamn-']
327;ἀπολαύσει;['ἀπόλαυσις'];['n-s---fd-']
328;ἀπολείποντος;['ἀπολείπω'];['v-sppamg-']
329;ἀπολιποῦσα;['ἀπολείπω'];['v-sapafn-']
330;ἀπολλύμενος;['ἀπόλλυμι'];['v-sppmmn-']
331;ἀπολογεῖσθαι;['ἀπολογέομαι'];['v--pnm---']
332;ἀπολογιζόμενος;['ἀπολογίζομαι'];['v-sppmmn-']
333;ἀποπιμπλὰς;['ἀποπίμπλημι'];['v-sppamn-']
334;ἀποπνίγοντες;['ἀποπνίγω'];['v-pppamn-']
335;ἀποστᾶσα;['ἀφίστημι'];['v-sapafn-']
336;ἀποστερήσων;['ἀποστερέω'];['v-sfpamn-']
337;ἀποστρεφομένους;['ἀποστρέφω'];['v-pppmma-']
338;ἀποφαίνων;['ἀποφαίνω'];['v-sppamn-']
339;ἀποφυγὴν;['ἀποφυγή'];['n-s---fa-']
340;ἀποψηφισάμενοι;['ἀποψηφίζομαι'];['v-papmmn-']
341;ἀποψηφισαμένους;['ἀποψηφίζομαι'];['v-papmma-']
342;ἀπροθύμως;['ἀπρόθυμος'];['d--------']
343;ἀπώλεσαν;['ἀπόλλυμι'];['v3paia---']
344;ἀπώλεσε;['ἀπόλλυμι'];['v3saia---']
345;ἀπώλεσεν;['ἀπόλλυμι'];['v3saia---']
346;ἀργύριον;['ἀργύριον'];['n-s---na-']
347;ἀργύρου;['ἄργυρος'];['n-s---mg-']
348;ἀργυρίου;['ἀργύριον'];['n-s---ng-']
349;ἀργῶς;['ἀργός'];['d--------']
350;ἀρεταὶ;['ἀρετή'];['n-p---fn-']
351;ἀρετήν;['ἀρετή'];['n-s---fa-']
352;ἀρετῆς;['ἀρετή'];['n-s---fg-']
353;ἀρθείσης;['ἀείρω'];['v-sappfg-']
354;ἀρίστην;['ἀγαθός'];['a-s---fas']
355;ἀριθμὸν;['ἀριθμός'];['n-s---ma-']
356;ἀρξαμένῳ;['ἄρχω'];['v-sapmmd-']
357;ἀρχεῖον;['ἀρχεῖον'];['n-s---na-']
358;ἀρχὴν;['ἀρχή'];['n-s---fa-']
359;ἀρχῆς;['ἀρχή'];['n-s---fg-']
360;ἀρχόντων;['ἄρχων'];['n-p---mg-']
361;ἀσέληνον;['ἀσέληνος'];['a-s---fa-']
362;ἀστὴρ;['ἀστήρ'];['n-s---mn-']
363;ἀσύμφωνον;['ἀσύμφωνος'];['a-s---fa-']
364;ἀσυμφύλους;['ἀσύμφυλος'];['a-p---ma-']
365;ἀσφαλῶς;['ἀσφαλής'];['d--------']
366;ἀσχολίαν;['ἀσχολία'];['n-s---fa-']
367;ἀσχολίας;['ἀσχολία'];['n-p---fa-']
368;ἀταξίαν;['ἀταξία'];['n-s---fa-']
369;ἀτέκνου;['ἄτεκνος'];['a-s---mg-']
370;ἀτημελῶς;['ἀτημελής'];['d--------']
371;ἀτόπως;['ἄτοπος'];['d--------']
372;ἀφέσει;['ἄφεσις'];['n-s---fd-']
373;ἀφέσεσι;['ἄφεσις'];['n-p---fd-']
374;ἀφεθῆναι;['ἀφίημι'];['v--anp---']
375;ἀφείλετο;['ἀφαιρέω'];['v3saim---']
376;ἀφεῖναι;['ἀφίημι'];['v--ana---']
377;ἀφειδῶς;['ἀφειδής'];['d--------']
378;ἀφειλόμην;['ἀφαιρέω'];['v1saim---']
379;ἀφορῶσι;['ἀφοράω'];['v3ppia---']
380;ἀφ’;['ἀπό'];['r--------']
381;ἀψοφητὶ;['ἀψοφητί'];['d--------']
382;ἃ;['ὅς'];['p-p---na-']
383;ἅμα;['ἅμα'];['d--------']
384;ἅπαντα;['ἅπας'];['p-p---na-']
385;ἅπαντας;['ἅπας'];['p-p---ma-']
386;ἅτε;['ἅτε'];['d--------']
387;ἅτερος;['ἕτερος'];['p-s---mn-']
388;ἅψασθαι;['ἅπτω'];['v--anm---']
389;ἁμαρτάνοντες;['ἁμαρτάνω'];['v-pppamn-']
