;form;lemmi;postag
452;βέλτιον;['ἀγαθός'];['a-s---nac']
453;βεβουλευμένοις;['βουλεύω'];['v-prpmnd-']
454;βελτίονα;['ἀγαθός'];['a-p---nac']
455;βίαιον;['βίαιος'];['a-s---na-']
456;βίους;['βίος'];['n-p---ma-']
457;βίων;['βίος'];['n-p---mg-']
458;βιασθεὶς;['βιάζω'];['v-sappmn-']
459;βιασθείς;['βιάζω'];['v-sappmn-']
460;βλέμμα;['βλέμμα'];['n-s---na-']
461;βοήθειαν;['βοήθεια'];['n-s---fa-']
462;βοηθεῖν;['βοηθέω'];['v--pna---']
463;βοηθήσων;['βοηθέω'];['v-sfpamn-']
464;βοηθοῦντος;['βοηθέω'];['v-sppamg-']
465;βοηθῶν;['βοηθέω'];['v-sppamn-']
466;βοτῆρες;['βοτήρ'];['n-p---mn-']
467;βούλει;['βούλομαι'];['v2spim---']
468;βούλοιτο;['βούλομαι'];['v3spom---']
469;βουλεύματα;['βούλευμα'];['n-p---na-']
470;βουλευομένῳ;['βουλεύω'];['v-sppmmd-']
471;βουλευομένων;['βουλεύω'];['v-pppmmg-']
472;βουληθέντος;['βούλομαι'];['v-sappmg-']
473;βουλόμενον;['βούλομαι'];['v-sppmma-']
474;βουλόμενος;['βούλομαι'];['v-sppmmn-']
475;βουλομένοις;['βούλομαι'];['v-pppmmd-']
476;βουλομένους;['βούλομαι'];['v-pppmma-']
477;βοῶσαι;['βοάω'];['v-pppafn-']
478;βραβεύειν;['βραβεύω'];['v--pna---']
479;βραχέα;['βραχύς'];['a-p---na-']
480;βρόχον;['βρόχος'];['n-s---ma-']
481;βρόχου;['βρόχος'];['n-s---mg-']
482;βρόχῳ;['βρόχος'];['n-s---md-']
483;βωμὸν;['βωμός'];['n-s---ma-']
484;γὰρ;['γάρ'];['g--------']
485;γάμων;['γάμος'];['n-p---mg-']
486;γάρ;['γάρ'];['g--------']
487;γαμβρὸν;['γαμβρός'];['n-s---ma-']
488;γαμβρὸς;['γαμβρός'];['n-s---mn-']
489;γαμβροὺς;['γαμβρός'];['n-p---ma-']
490;γε;['γε'];['g--------']
491;γέ;['γε'];['g--------']
492;γέγραπται;['γράφω'];['v3srim---']
493;γέγραφε;['γράφω'];['v3sria---']
494;γένηται;['γίγνομαι'];['v3sasm---']
495;γένους;['γένος'];['n-s---ng-']
496;γέροντας;['γέρων'];['n-p---ma-']
497;γεγονέναι;['γίγνομαι'];['v--rna---']
498;γεγονόσι;['γίγνομαι'];['v-prpand-']
499;γεγονότων;['γίγνομαι'];['v-prpamg-']
500;γεγονὼς;['γίγνομαι'];['v-srpamn-']
501;γελάσαντος;['γελάω'];['v-sapamg-']
502;γενέσθαι;['γίγνομαι'];['v--anm---']
503;γενόμενος;['γίγνομαι'];['v-sapmmn-']
504;γενομένης;['γίγνομαι'];['v-sapmfg-']
505;γενομένου;['γίγνομαι'];['v-sapmng-']
506;γενομένους;['γίγνομαι'];['v-papmma-']
507;γενομένων;['γίγνομαι'];['v-papmmg-', 'v-papmng-']
508;γερόντων;['γέρων'];['n-p---mg-']
509;γεωργουμένοις;['γεωργέω'];['v-pppmnd-']
510;γεωργῶν;['γεωργός'];['n-p---mg-']
511;γῆν;['γῆ'];['n-s---fa-']
512;γῆς;['γῆ'];['n-s---fg-']
513;γίνεται;['γίγνομαι'];['v3spim---']
514;γινόμενα;['γίγνομαι'];['v-pppmna-']
515;γινομένης;['γίγνομαι'];['v-sppmfg-']
516;γνώμαις;['γνώμη'];['n-p---fd-']
517;γνώμην;['γνώμη'];['n-s---fa-']
518;γραμματεῖα;['γραμματεῖον'];['n-p---na-']
519;γραφείσης;['γράφω'];['v-sappfg-']
520;γυναῖκα;['γυνή'];['n-s---fa-']
521;γυναῖκας;['γυνή'];['n-p---fa-']
522;γυναῖκες;['γυνή'];['n-p---fn-']
523;γυναικὸς;['γυνή'];['n-s---fg-']
524;γυναικός;['γυνή'];['n-s---fg-']
525;γυναικῶν;['γυνή'];['n-p---fg-']
526;γυναιξὶ;['γυνή'];['n-p---fd-']
527;γυναιξὶν;['γυνή'];['n-p---fd-']
528;γυναιξίν;['γυνή'];['n-p---fd-']
529;γυνὴ;['γυνή'];['n-s---fn-']
530;δάκρυσι;['δάκρυον'];['n-p---nd-']
531;δακρύοντα;['δακρύω'];['v-sppama-']
532;δακρυόντων;['δακρύω'];['v-pppang-']
533;δανείζειν;['δανείζω'];['v--pna---']
534;δανειστικοὶ;['δανειστικός'];['a-p---mn-']
535;δὲ;['δέ'];['c--------']
536;δέ;['δέ'];['c--------']
537;δέοιτο;['δέω'];['v3spom---']
538;δεδεμένους;['δέω'];['v-prpmma-']
539;δεδιέναι;['δείδω'];['v--rna---']
540;δεδιόσι;['δείδω'];['v-prpamd-']
541;δεδιότες;['δείδω'];['v-prpamn-']
542;δεδιὼς;['δείδω'];['v-srpamn-']
543;δεδιώς;['δείδω'];['v-srpamn-']
544;δεδωκότα;['δίδωμι'];['v-srpama-']
545;δεδωκότων;['δίδωμι'];['v-prpamg-']
546;δεῖ;['δέω'];['v3spia---']
547;δεῖν;['δέω'];['v--pna---']
548;δεῖπνα;['δεῖπνον'];['n-p---na-']
549;δεικνύων;['δείκνυμι'];['v-sppamn-']
550;δεινότατος;['δεινός'];['a-s---mns']
551;δεινότερον;['δεινός'];['a-s---nac']
552;δεξάμενοι;['δέχομαι'];['v-papmmn-']
553;δεξάμενος;['δέχομαι'];['v-sapmmn-']
554;δεόμεναι;['δέω'];['v-pppmfn-']
555;δεόμενοι;['δέω'];['v-pppmmn-']
556;δεόμενος;['δέω'];['v-sppmmn-']
557;δεομένῃ;['δέω'];['v-sppmfd-']
558;δεομένης;['δέω'];['v-sppmfg-']
559;δεσμωτήριον;['δεσμωτήριον'];['n-s---na-']
560;δεσμωτηρίου;['δεσμωτήριον'];['n-s---ng-']
561;δεσπόται;['δεσπότης'];['n-p---mn-']
562;δεσπότην;['δεσπότης'];['n-s---ma-']
563;δὴ;['δή'];['g--------']
564;δή;['δή'];['g--------']
565;δήμοις;['δῆμος'];['n-p---md-']
566;δῆμον;['δῆμος'];['n-s---ma-']
567;δῆμος;['δῆμος'];['n-s---mn-']
568;δημαγωγοὶ;['δημαγωγός'];['n-p---mn-']
569;δημαγωγῶν;['δημαγωγός'];['n-p---mg-']
570;δημοσίων;['δημόσιος'];['a-p---ng-']
571;δίαιταν;['δίαιτα'];['n-s---fa-']
572;δίδωσι;['δίδωμι'];['v3spia---']
573;δίκαιον;['δίκαιος'];['a-s---ma-', 'a-s---na-']
574;δίκῃ;['δίκη'];['n-s---fd-']
575;δίκην;['δίκη'];['n-s---fa-']
576;δίφρων;['δίφρος'];['n-p---mg-']
577;διὰ;['διά'];['r--------']
578;διᾴξῃ;['διαίσσω'];['v3sasa---']
579;διαβάλλων;['διαβάλλω'];['v-sppamn-']
580;διαβάντος;['διαβαίνω'];['v-sapamg-']
581;διαδοχαῖς;['διαδοχή'];['n-p---fd-']
582;διαδοχῆς;['διαδοχή'];['n-s---fg-']
583;διαδοχῶν;['διαδοχή'];['n-p---fg-']
584;διαίταις;['δίαιτα'];['n-p---fd-']
585;διαίτας;['δίαιτα'];['n-p---fa-']
586;διαιτᾶν;['διαιτάω'];['v--pna---']
587;διαιτᾶσθαι;['διαιτάω'];['v--pnm---']
588;διακελευομένων;['διακελεύομαι'];['v-pppmmg-']
589;διακινδυνεῦσαι;['διακινδυνεύω'];['v--ana---']
590;διακοσίους;['διακόσιοι'];['m-p---ma-']
591;διακοσίων;['διακόσιοι'];['m-p---ng-']
592;διακωλύειν;['διακωλύω'];['v--pna---']
593;διακωλύοντος;['διακωλύω'];['v-sppamg-']
594;διαλέγεσθαι;['διαλέγω'];['v--pnm---']
595;διαλεγόμενοι;['διαλέγω'];['v-pppmmn-']
596;διαλεχθεὶς;['διαλέγω'];['v-sappmn-']
597;διαλογίζεσθαι;['διαλογίζομαι'];['v--pnm---']
598;διαλῦσαι;['διαλύω'];['v--ana---']
599;διαμάχεσθαι;['διαμάχομαι'];['v--pnm---']
600;διαμένουσα;['διαμένω'];['v-sppafn-']
601;διανόημα;['διανόημα'];['n-s---na-']
602;διαπειλησάμενος;['διαπειλέω'];['v-sapmmn-']
603;διαπορευόμενοι;['διαπορεύω'];['v-pppmmn-']
604;διαπραξάμενος;['διαπράσσω'];['v-sapmmn-']
605;διαπραττομένην;['διαπράσσω'];['v-sppmfa-']
606;διατιθέμενον;['διατίθημι'];['v-sppmma-']
607;διαφερόντως;['διαφερόντως'];['d--------']
608;διαφῆκε;['διαφίημι'];['v3saia---']
609;διαφθείρας;['διαφθείρω'];['v-sapamn-']
610;διαφθείρειν;['διαφθείρω'];['v--pna---']
611;διαφθεῖραι;['διαφθείρω'];['v--ana---']
612;διαφθορᾷ;['διαφθορά'];['n-s---fd-']
613;διαφθορᾶς;['διαφθορά'];['n-s---fg-']
614;διαφορᾶς;['διαφορά'];['n-s---fg-']
615;διαφυγὼν;['διαφεύγω'];['v-sapamn-']
616;διδάξας;['διδάσκω'];['v-sapamn-']
617;διδόναι;['δίδωμι'];['v--pna---']
618;διδόντας;['δίδωμι'];['v-pppama-']
619;διέδωκε;['διαδίδωμι'];['v3saia---']
620;διέσωσε;['διασῴζω'];['v3saia---']
621;διέτριβε;['διατρίβω'];['v3siia---']
622;διελέχθη;['διαλέγω'];['v3saip---']
623;διελθόντος;['διέρχομαι'];['v-sapamg-']
624;διελυμήνατο;['διαλυμαίνομαι'];['v3saim---']
625;διετέλει;['διατελέω'];['v3siia---']
626;διετέλουν;['διατελέω'];['v3piia---']
627;διεφθαρμένον;['διαφθείρω'];['v-srpmna-']
628;διεφθαρμένος;['διαφθείρω'];['v-srpmmn-']
629;διηγήσεως;['διήγησις'];['n-s---fg-']
