;form;lemmi;postag
100;λιποδεὴς;['λιποδεής'];['a-s---mn-']
101;λόγος;['λόγος'];['n-s---mn-']
102;λῷστε;['λωΐων'];['a-s---mv-']
103;μάλιστα;['μάλα'];['d-------s']
104;μὲν;['μέν'];['g--------']
105;μέγα;['μέγας'];['a-s---nn-']
106;μέτριος;['μέτριος'];['a-s---mn-']
107;μελεδωνόν;['μελεδωνός'];['n-s---ma-']
108;μεταναστὰς;['μετανίστημι'];['v-sapamn-']
109;μὴ;['μή'];['d--------']
110;μηδὲν;['μηδείς'];['p-s---na-']
111;μύθους;['μῦθος'];['n-p---ma-']
112;νοσοῦσι;['νοσέω'];['v-pppamd-']
113;νῦν;['νῦν'];['d--------']
114;ὀνήιστοι;['ὀνήας'];['a-p---mns']
115;ὁ;['ὁ'];['l-s---mn-']
116;οἴχεο;['οἴχομαι'];['v2siim---']
117;οἱ;['ὁ'];['l-p---mn-']
118;οὐ;['οὐ'];['d--------']
119;οὔ;['οὐ'];['d--------']
120;οὖν;['οὖν'];['g--------']
121;οὐδὲν;['οὐδείς'];['p-s---na-']
122;οὐκ;['οὐ'];['d--------']
123;οὓς;['ὅς'];['p-p---ma-']
124;οὗ;['οὗ'];['d--------']
125;πάντα;['πᾶς'];['p-p---na-']
126;πάντ’;['πᾶς'];['p-p---na-']
127;παρὰ;['παρά'];['r--------']
128;πατρίδι;['πατρίς'];['n-s---fd-']
129;πατρόθεν;['πατρόθεν'];['d--------']
130;περὶ;['περί'];['r--------']
131;πόλιας;['πόλις'];['n-p---fa-']
132;ποικίλαι;['ποικίλος'];['a-p---fn-']
133;πολέμοις;['πόλεμος'];['n-p---md-']
134;πολὺ;['πολύς'];['a-s---na-']
135;πρὸς;['πρός'];['r--------']
136;προσδεῖται;['προσδέω'];['v3spim---']
137;προσπελάζει;['προσπελάζω'];['v3spia---']
138;σε;['σύ'];['p-s---ca-']
139;σεαυτὸν;['σεαυτοῦ'];['p-s---ma-']
140;σὸς;['σός'];['a-s---mn-']
141;σοι;['σύ'];['p-s---cd-']
142;σοῦ;['σύ'];['p-s---cg-']
143;σὺ;['σύ'];['p-s---cn-']
144;σύ;['σύ'];['p-s---cn-']
145;συγκάμνειν;['συγκάμνω'];['v--pna---']
146;συμβιώσοντά;['συμβιόω'];['v-sfpama-']
147;σώζεσθαι;['σῴζω'];['v--pnm---']
148;τὰ;['ὁ'];['l-p---na-', 'l-p---nn-']
149;τὰς;['ὁ'];['l-p---fa-']
150;τε;['τε'];['c--------']
151;τῇ;['ὁ'];['l-s---fd-']
152;τὸν;['ὁ'];['l-s---ma-']
153;τοῖς;['ὁ'];['l-p---md-']
154;τοιαῦτα;['τοιοῦτος'];['p-p---na-']
155;τοὺς;['ὁ'];['l-p---ma-']
156;τραπέζης;['τράπεζα'];['n-s---fg-']
157;τῷ;['ὁ'];['l-s---md-']
158;ὑμεῖς;['σύ'];['p-p---cn-']
159;ὑπὸ;['ὑπό'];['r--------']
160;φθονήσοντα;['φθονέω'];['v-sfpama-']
161;ψυχὰς;['ψυχή'];['n-p---fa-']
162;ὦ;['ὦ'];['i--------']
163;ὧν;['ὅς'];['p-p---ng-']
