;form;lemmi;postag
459;αἳ;['ὁ'];['l-p---fn-']
460;αἵ;['ὅς'];['p-p---fn-']
461;αἱρεῖ;['αἱρέω'];['v3spia---']
462;αὖ;['αὖ'];['d--------']
463;αὖτις;['αὖθις'];['d--------']
464;αὖτ’;['αὖτε'];['d--------']
465;αὐτὰρ;['ἀτάρ'];['c--------', 'g--------']
466;αὐτή;['αὐτός'];['p-s---fn-']
467;αὐτῇ;['αὐτός'];['p-s---fd-']
468;αὐτῆς;['αὐτός'];['p-s---fg-']
469;αὐτίκα;['αὐτίκα'];['d--------']
470;αὐτίκ’;['αὐτίκα'];['d--------']
471;αὐτὸς;['αὐτός'];['p-s---mn-']
472;αὐτοὶ;['αὐτός'];['p-p---mn-']
473;αὐτοῖς;['αὐτός'];['p-p---md-']
474;αὐτούς;['αὐτός'];['p-p---ma-']
475;αὐτοῦ;['αὐτός', 'αὐτοῦ'];['d--------', 'p-s---mg-']
476;αὐτῷ;['αὐτός'];['p-s---md-']
477;αὐτῶν;['αὐτός'];['p-p---mg-']
478;αὕτη;['οὗτος'];['p-s---fn-']
479;βὰν;['βαίνω'];['v3paia---']
480;βάλε;['βάλλω'];['v3saia---']
481;βάλλεο;['βάλλω'];['v2spmm---']
482;βάν;['βαίνω'];['v3paia---']
483;βαθύτριχα;['βαθύθριξ'];['a-s---ma-']
484;βαῖνον;['βαίνω'];['v3piia---']
485;βαμβαλιαστὺν;['βαμβαλιαστύς'];['n-s---fa-']
486;βεβλήατ’;['βάλλω'];['v3prim---']
487;βήσσῃ;['βῆσσα'];['n-s---fd-']
488;βῆ;['βαίνω'];['v3saia---']
489;βῆς;['βαίνω'];['v2saia---']
490;βῆσσα;['βῆσσα'];['n-s---fn-']
491;βίην;['βία'];['n-s---fa-']
492;βιβάς;['βαίνω'];['v-sppamn-']
493;βιόμεσθα;['βιόω'];['v1ppim---']
494;βιόν;['βιός'];['n-s---ma-']
495;βιοῖο;['βιός'];['n-s---mg-']
496;βόσκεται;['βόσκω'];['v3spim---']
497;βοείας;['βοείη'];['n-p---fa-']
498;βοεῦσιν;['βοεύς'];['n-p---md-']
499;βοσκήσεις;['βόσκω'];['v2sfia---']
500;βούλεσθ’;['βούλομαι'];['v2ppim---']
501;βουλάς;['βουλή'];['n-p---fa-']
502;βουλὴν;['βουλή'];['n-s---fa-']
503;βουλήν;['βουλή'];['n-s---fa-']
504;βουλήσεται;['βούλομαι'];['v3sfim---']
505;βοῶπις;['βοῶπις'];['a-s---fn-']
506;βροτοὶ;['βροτός'];['n-p---mn-']
507;βροτοῖσι;['βροτός'];['n-p---md-']
508;βροτοῖσιν;['βροτός'];['n-p---md-']
509;βροτῶν;['βροτός'];['n-p---mg-']
510;βωμὸν;['βωμός'];['n-s---ma-']
511;βωμὸς;['βωμός'];['n-s---mn-']
512;βωμόν;['βωμός'];['n-s---ma-']
513;βωτιανείρῃ;['βωτιάνειρα'];['n-s---fd-']
514;γὰρ;['γάρ'];['g--------']
515;γάρ;['γάρ'];['g--------']
516;γαίης;['γῆ'];['n-s---fg-']
517;γαῖα;['γῆ'];['n-s---fn-']
518;γαῖαν;['γῆ'];['n-s---fa-']
519;γαῖ’;['γῆ'];['n-s---fn-']
520;γαιέων;['γῆ'];['n-p---fg-']
521;γε;['γε'];['g--------']
522;γέ;['γε'];['g--------']
523;γέγονεν;['γίγνομαι'];['v3sria---']
524;γένεθ’;['γίγνομαι'];['v3saim---']
525;γένετ’;['γίγνομαι'];['v3saim---']
526;γένηται;['γίγνομαι'];['v3sasm---']
527;γένος;['γένος'];['n-s---nn-', 'n-s---na-']
528;γείνατ’;['γίγνομαι'];['v3saim---']
529;γενοίμην;['γίγνομαι'];['v1saom---']
530;γήραος;['γῆρας'];['n-s---ng-']
531;γλαυκῶπιν;['γλαυκῶπις'];['a-s---fa-']
532;γλαφυρῇ;['γλαφυρός'];['a-s---fd-']
533;γλαφυρῆς;['γλαφυρός'];['a-s---fg-']
534;γλυκεροῖο;['γλυκύς'];['a-s---mg-']
535;γονὴν;['γονή'];['n-s---fa-']
536;γονῇ;['γονή'];['n-s---fd-']
537;γοῦνα;['γόνυ'];['n-p---nn-']
538;γυάλων;['γύαλον'];['n-p---ng-']
539;γυναῖκας;['γυνή'];['n-p---fa-']
540;γυναικῶν;['γυνή'];['n-p---fg-']
541;γ’;['γε'];['g--------']
542;δάμαρτι;['δάμαρ'];['n-s---fd-']
543;δάφνης;['δάφνη'];['n-s---fg-']
544;δαίμονες;['δαίμων'];['n-p---mn-']
545;δαῖε;['δαίω'];['v3siia---']
546;δαπέδοισι;['δάπεδον'];['n-p---nd-']
547;δαφοινόν;['δαφοινός'];['a-s---nn-']
548;δὲ;['δέ'];['c--------']
549;δέ;['δέ'];['c--------']
550;δέδεχθε;['δέχομαι'];['v2prmm---']
551;δέμας;['δέμας'];['n-s---na-']
552;δέξαι’;['δέχομαι'];['v2saom---']
553;δέξασθαι;['δέχομαι'];['v--anm---']
554;δέξατο;['δέχομαι'];['v3saim---']
555;δέξο;['δέχομαι'];['v2samm---']
556;δέος;['δέος'];['n-s---na-']
557;δέπαϊ;['δέπας'];['n-s---nd-']
558;δέσματ’;['δέσμα'];['n-p---na-']
559;δεδμήσεσθ’;['δαμάζω'];['v2ptim---']
560;δείδοικα;['δείδω'];['v1sria---']
561;δείκνυσθε;['δείκνυμι'];['v2ppmm---']
562;δεῖξε;['δείκνυμι'];['v3saia---']
563;δεικνύμενος;['δείκνυμι'];['v-sppmmn-']
564;δειμαίνοντες;['δειμαίνω'];['v-pppamn-']
565;δεινόν;['δεινός'];['a-s---ma-', 'a-s---nn-', 'a-s---na-']
566;δεινότατός;['δεινός'];['a-s---mns']
567;δειπνῆσαί;['δειπνέω'];['v--ana---']
568;δειράδα;['δειράς'];['n-s---fa-']
569;δελφῖνι;['δελφίς'];['n-s---md-']
570;δελφῖν’;['δελφίς'];['n-s---ma-']
571;δενδρήεντα;['δενδρήεις'];['a-p---na-', 'a-p---nn-']
572;δενδρήεντι;['δενδρήεις'];['a-s---nd-']
573;δενδρηέντα;['δενδρηίημι'];['v-sappma-']
574;δεξαίμην;['δέχομαι'];['v1saom---']
575;δεξαμένη;['δέχομαι'];['v-sapmfn-']
576;δεξιτερῇ;['δεξιτερός'];['a-s---fd-']
577;δεῦρ’;['δεῦρο'];['d--------']
578;δὴ;['δή'];['g--------']
579;δή;['δή'];['g--------']
580;δήλημα;['δήλημα'];['n-s---nn-']
581;δῆλ’;['δῆλος'];['a-s---mv-']
582;δῆμος;['δῆμος'];['n-s---mn-']
583;δημοῦ;['δημός'];['n-s---mg-']
584;δίκη;['δίκη'];['n-s---fn-']
585;δίφροιο;['δίφρος'];['n-s---mg-']
586;δίφρον;['δίφρος'];['n-s---ma-']
587;δῖαν;['δῖος'];['a-s---fa-']
588;διὰ;['διά'];['r--------']
589;διαβάς;['διαβαίνω'];['v-sapamn-']
590;διαμπερὲς;['διαμπερές'];['d--------']
591;διὲκ;['διέκ'];['r--------']
592;διέθηκε;['διατίθημι'];['v3saia---']
593;διήνυσε;['διανύω'];['v3saia---']
594;διηνεκές;['διηνεκής'];['a-s---na-']
595;δόρπον;['δόρπον'];['n-s---ma-']
596;δότε;['δίδωμι'];['v2pama---']
597;δοῖεν;['δίδωμι'];['v3paoa---']
598;δονήσεται;['δονέω'];['v3sfim---']
599;δοῦρα;['δόρυ'];['n-p---na-']
600;δράκαιναν;['δράκαινα'];['n-s---fa-']
601;δύνανται;['δύναμαι'];['v3ppim---']
602;δυσηλεγέ’;['δυσηλεγής'];['a-s---ma-']
603;δυσηχὴς;['δυσηχής'];['a-s---mn-']
604;δυστλήμονες;['δυστλήμων'];['a-p---mv-']
605;δυσώνυμος;['δυσώνυμος'];['a-s---fn-']
606;δώματα;['δῶμα'];['n-p---na-']
607;δώματ’;['δῶμα'];['n-p---na-']
608;δῶκεν;['δίδωμι'];['v3saia---']
609;δῶμα;['δῶμα'];['n-s---na-']
610;δῶρα;['δῶρον'];['n-p---na-']
611;δῶρ’;['δῶρον'];['n-p---na-']
612;δ’;['δέ'];['c--------']
613;ἒξ;['ἐκ'];['r--------']
614;ἔασι;['εἰμί'];['v3ppia---']
615;ἔβαινε;['βαίνω'];['v3siia---']
616;ἔβης;['βαίνω'];['v2saia---']
617;ἔγνω;['γιγνώσκω'];['v3saia---']
618;ἔδοντες;['ἐσθίω'];['v-pppamn-']
619;ἔδωκε;['δίδωμι'];['v3saia---']
620;ἔειπε;['λέγω'];['v3saia---']
621;ἔειπες;['λέγω'];['v2saia---']
622;ἔθελον;['ἐθέλω'];['v3piia---']
623;ἔθεσθε;['τίθημι'];['v2paim---']
624;ἔθηκε;['τίθημι'];['v3saia---']
625;ἔθορε;['θρῴσκω'];['v3saia---']
626;ἔθ’;['ἔτι'];['d--------']
627;ἔκ;['ἐκ'];['d--------']
628;ἔκιες;['κίω'];['v2siia---']
629;ἔλασε;['ἐλαύνω'];['v3saia---']
630;ἔλθωσιν;['ἔρχομαι'];['v3pasa---']
631;ἔλυον;['λύω'];['v3piia---']
632;ἔμβαλον;['ἐμβάλλω'];['v1saia---']
633;ἔμβαλ’;['ἐμβάλλω'];['v3saia---']
634;ἔμελλεν;['μέλλω'];['v3siia---']
635;ἔμελλες;['μέλλω'];['v2siia---']
636;ἔμελλον;['μέλλω'];['v3piia---']
637;ἔμμεναι;['εἰμί'];['v--pna---']
638;ἔμπης;['ἔμπας'];['d--------']
639;ἔμ’;['ἐγώ'];['p-s---ca-']
640;ἔναιε;['ναίω'];['v3siia---']
641;ἔναλον;['ἔναλος'];['a-s---fa-']
642;ἔνασσαν;['ναίω'];['v3paia---']
643;ἔνδοθι;['ἔνδοθι'];['d--------']
644;ἔνθα;['ἔνθα'];['d--------']
645;ἔνθεν;['ἔνθεν'];['d--------']
646;ἔνθ’;['ἔνθα'];['d--------']
647;ἔνι;['ἐν'];['r--------']
648;ἔντεα;['ἔντεα'];['n-p---na-']
649;ἔξοχα;['ἔξοχος'];['d--------']
650;ἔοικας;['ἔοικα'];['v2sria---']
651;ἔπεα;['ἔπος'];['n-p---na-']
652;ἔπειγε;['ἐπείγω'];['v3siia---']
653;ἔπειθεν;['πείθω'];['v3siia---']
654;ἔπειθ’;['ἔπειτα'];['d--------']
655;ἔπειτα;['ἔπειτα'];['d--------']
656;ἔπειτ’;['ἔπειτα'];['d--------']
657;ἔπλεον;['πλέω'];['v3piia---']
658;ἔπλετο;['πέλω'];['v3siim---']
659;ἔπος;['ἔπος'];['n-s---nn-', 'n-s---na-']
660;ἔπ’;['ἐπί'];['r--------']
661;ἔργον;['ἔργον'];['n-s---nn-']
662;ἔρδεσκεν;['ἔρδω'];['v3siia---']
663;ἔρεισε;['ἐρείδω'];['v3saia---']
664;ἔρον;['ἔρος'];['n-s---ma-']
665;ἔρυκε;['ἐρύκω'];['v3siia---']
666;ἔρχεσθαί;['ἔρχομαι'];['v--pnm---']
667;ἔρχεται;['ἔρχομαι'];['v3spim---']
668;ἔς;['εἰς'];['r--------']
669;ἔσαν;['εἰμί'];['v3piia---']
670;ἔσεσθαι;['εἰμί'];['v--fnm---']
671;ἔσεσθε;['εἰμί'];['v2pfim---']
672;ἔσονται;['εἰμί'];['v3pfim---']
673;ἔσσεαι;['εἰμί'];['v2sfim---']
674;ἔσσεσθαι;['εἰμί'];['v--fnm---']
675;ἔσσεται;['εἰμί'];['v3sfim---']
676;ἔσται;['εἰμί'];['v3sfim---']
677;ἔστω;['εἰμί'];['v3spma---']
678;ἔτεκ’;['τίκτω'];['v3saia---']
679;ἔτεος;['ἔτος'];['n-s---ng-']
680;ἔτι;['ἔτι'];['d--------']
681;ἔτικτε;['τίκτω'];['v3siia---']
682;ἔτικτεν;['τίκτω'];['v3siia---']
683;ἔτλη;['τλάω'];['v3siia---']
684;ἔτλης;['τλάω'];['v2saia---']
685;ἔτρεφεν;['τρέφω'];['v3siia---']
686;ἔφαθ’;['φημί'];['v3siim---']
687;ἔφη;['φημί'];['v3siia---']
688;ἔχει;['ἔχω'];['v3spia---']
689;ἔχεις;['ἔχω'];['v2spia---']
690;ἔχεν;['ἔχω'];['v3siia---']
691;ἔχῃσθα;['ἔχω'];['v2spsa---']
692;ἔχοντες;['ἔχω'];['v-pppamn-']
693;ἔχουσα;['ἔχω'];['v-sppafn-']
694;ἔχουσαι;['ἔχω'];['v-pppafn-']
695;ἔχουσι;['ἔχω'];['v3ppia---']
696;ἔχουσιν;['ἔχω'];['v3ppia---']
697;ἔχουσ’;['ἔχω'];['v-sppafn-']
698;ἔχων;['ἔχω'];['v-sppamn-']
699;ἔχωσι;['ἔχω'];['v3ppsa---']
700;ἐβήσαο;['βαίνω'];['v2saim---']
701;ἐβήσατο;['βαίνω'];['v3saim---']
702;ἐβίβασκεν;['βιβάω'];['v3siia---']
703;ἐγγεγάασιν;['ἐγγίγνομαι'];['v3pria---']
704;ἐγγύθι;['ἐγγύθι'];['r--------']
705;ἐγκιθαρίζει;['ἐγκιθαρίζω'];['v3spia---']
706;ἐγὼ;['ἐγώ'];['p-s---cn-']
707;ἐγὼν;['ἐγώ'];['p-s---cn-']
708;ἐγώ;['ἐγώ'];['p-s---cn-']
709;ἐδείδισαν;['δείδω'];['v3plia---']
710;ἐδητύος;['ἐδητύς'];['n-s---fg-']
711;ἐέργει;['ἔργω'];['v3spia---']
712;ἐερμένον;['εἴρω'];['v-srpmma-']
713;ἐθέλοις;['ἐθέλω'];['v2spoa---']
714;ἐθέλοντας;['ἐθέλω'];['v-pppama-']
715;ἐίσης;['ἔισος'];['a-s---fg-']
716;ἐκ;['ἐκ'];['r--------', 'd--------']
717;ἐκβάλλειν;['ἐκβάλλω'];['v--pna---']
718;ἐκβῆτ’;['ἐκβαίνω'];['v2pasa---']
719;ἐκέλευε;['κελεύω'];['v3siia---']
720;ἐκλήισσε;['κλείω'];['v3saia---']
721;ἐκπροκαλεσσαμένη;['ἐκπροκαλέομαι'];['v-sapmfn-']
722;ἐλάχεια;['ἐλαχύς'];['a-s---fn-']
723;ἐλατὴρ;['ἐλατήρ'];['n-s---mn-']
724;ἐλθών;['ἔρχομαι'];['v-sapamn-']
725;ἐμὲ;['ἐγώ'];['p-s---ca-']
726;ἐμέθεν;['ἐγώ'];['p-s---cg-']
727;ἐμεῖο;['ἐγώ'];['p-s---cg-']
728;ἐμὴν;['ἐμός'];['a-s---fa-']
729;ἐμὸν;['ἐμός'];['a-s---ma-', 'a-s---nn-', 'a-s---na-']
730;ἐμὸς;['ἐμός'];['a-s---mn-']
731;ἐμός;['ἐμός'];['a-s---mn-']
732;ἐμοὶ;['ἐγώ'];['p-s---cd-']
733;ἐμοί;['ἐγώ'];['p-s---cd-']
734;ἐμοῖο;['ἐμός'];['a-s---mg-']
735;ἐμῶν;['ἐμός'];['a-p---fg-']
736;ἐν;['ἐν'];['r--------']
737;ἐναλίγκιον;['ἐναλίγκιος'];['a-s---na-']
738;ἐνέλειπεν;['ἐλλείπω'];['v3siia---']
739;ἐνεόντα;['ἔνειμι'];['v-pppana-']
740;ἐνθάδε;['ἐνθάδε'];['d--------']
741;ἐνθάδ’;['ἐνθάδε'];['d--------']
742;ἐνὶ;['ἐν'];['r--------']
743;ἐνιαυτὸν;['ἐνιαυτός'];['n-s---ma-']
744;ἐννέα;['ἐννέα'];['m--------']
745;ἐννεάπηχυν;['ἐννεάπηχυς'];['a-s---ma-']
746;ἐννῆμάρ;['ἐννῆμαρ'];['d--------']
747;ἐνόησ’;['νοέω'];['v3saia---']
748;ἐνοπὴ;['ἐνοπή'];['n-s---fn-']
749;ἐνταυθοῖ;['ἐνταυθοῖ'];['d--------']
750;ἐντὸς;['ἐντός'];['r--------']
751;ἐξ;['ἐκ'];['r--------', 'd--------']
752;ἐξαπάφησε;['ἐξαπαφίσκω'];['v3saia---']
753;ἐξαπαφοῦσα;['ἐξαπαφίσκω'];['v-sapafn-']
754;ἐξετελεῦντο;['ἐκτελέω'];['v3piim---']
755;ἐξῄει;['ἐξέρχομαι'];['v3siia---']
756;ἐόντα;['εἰμί'];['v-sppama-']
757;ἐοικὼς;['ἔοικα'];['v-srpamn-']
758;ἐοῦσα;['εἰμί'];['v-sppafn-']
759;ἐπαιγίζων;['ἐπαιγίζω'];['v-sppamn-']
760;ἐπέβαλλεν;['ἐπιβάλλω'];['v3siia---']
761;ἐπέβης;['ἐπιβαίνω'];['v2saia---']
762;ἐπέεσσιν;['ἔπος'];['n-p---nd-']
763;ἐπέπυστο;['πυνθάνομαι'];['v3slim---']
764;ἐπέτελλον;['ἐπιτέλλω'];['v3piia---']
765;ἐπεὶ;['ἐπεί'];['c--------']
766;ἐπεί;['ἐπεί'];['c--------']
767;ἐπείθετο;['πείθω'];['v3siim---']
768;ἐπεπλέομεν;['ἐπιπλέω'];['v1piia---']
769;ἐπευχόμενος;['ἐπεύχομαι'];['v-sppmmn-']
770;ἐπεφράσαθ’;['ἐπιφράζω'];['v3saim---']
771;ἐπὴν;['ἐπήν'];['c--------']
772;ἐπήλυθον;['ἐπέρχομαι'];['v3paia---']
773;ἐπήρατον;['ἐπήρατος'];['a-s---ma-']
774;ἐπήρατος;['ἐπήρατος'];['a-s---fn-']
775;ἐπήρξατο;['ἐπάρχω'];['v3saim---']
776;ἐπηύξατο;['ἐπεύχομαι'];['v3saim---']
777;ἐπὶ;['ἐπί'];['r--------']
778;ἐπί;['ἐπί'];['r--------']
779;ἐπίθοντο;['πείθω'];['v3paim---']
780;ἐπίκλησιν;['ἐπίκλησις'];['n-s---fa-']
781;ἐπιδευέα;['ἐπιδευής'];['a-s---ma-']
782;ἐπικαίοντες;['ἐπικαίω'];['v-pppamn-']
783;ἐπικρέμαται;['ἐπικρεμάννυμι'];['v3spim---']
784;ἐπιμειδήσας;['ἐπιμειδάω'];['v-sapamn-']
785;ἐπιτέρπεαι;['ἐπιτέρπομαι'];['v2spim---']
786;ἐπιτέρπονται;['ἐπιτέρπομαι'];['v3ppim---']
787;ἐπιτερπέα;['ἐπιτερπής'];['a-s---ma-']
788;ἐπιχθονίων;['ἐπιχθόνιος'];['a-p---mg-']
789;ἐπόρουσε;['ἐπορούω'];['v3saia---']
790;ἐπόψιος;['ἐπόψιος'];['a-s---mn-']
791;ἐπώνυμον;['ἐπώνυμος'];['a-s---ma-']
792;ἐπ’;['ἐπί'];['r--------']
793;ἐρατεινὴν;['ἐρατεινός'];['a-s---fa-']
794;ἐρατὴν;['ἐρατός'];['a-s---fa-']
795;ἐρατὸν;['ἐρατός'];['a-s---ma-']
796;ἐρέω;['λέγω'];['v1sfia---']
797;ἐρεχθομένη;['ἐρέχθω'];['v-sppmfn-']
798;ἐρικυδέα;['ἐρικυδής'];['a-s---fa-']
799;ἐρικυδέος;['ἐρικυδής'];['a-s---fg-']
800;ἐριτίμων;['ἐρίτιμος'];['a-p---ng-']
801;ἐρύσαντο;['ἐρύω'];['v3paim---']
802;ἐρύσασθε;['ἐρύω'];['v2pamm---']
803;ἐρχομένοιο;['ἔρχομαι'];['v-sppmmg-']
804;ἐς;['εἰς'];['r--------']
805;ἐσθλοί;['ἐσθλός'];['a-p---mn-']
806;ἐσσί;['εἰμί'];['v2spia---']
807;ἐστέ;['εἰμί'];['v2ppia---']
808;ἐστὶ;['εἰμί'];['v3spia---']
809;ἐστιν;['εἰμί'];['v3spia---']
810;ἐτήτυμόν;['ἐτήτυμος'];['a-s---nn-']
811;ἐτήτυμον;['ἐτήτυμος'];['a-s---na-']
812;ἐτρόμεον;['τρομέω'];['v3piia---']
813;ἐύδμητον;['εὔδμητος'];['a-s---ma-']
814;ἐύκτιτον;['ἐύκτιτος'];['a-s---ma-']
815;ἐύσκοπος;['εὔσκοπος'];['a-s---mn-']
816;ἐύφρονες;['εὔφρων'];['a-p---fn-']
817;ἐυκλώστοιο;['ἐύκλωστος'];['a-s---mg-']
818;ἐυκτιμένης;['ἐυκτίμενος'];['a-s---fg-']
819;ἐυπλόκαμοι;['ἐϋπλόκαμος'];['a-p---fn-']
820;ἐφεζομένη;['ἐφέζομαι'];['v-sppmfn-']
821;ἐφῆκε;['ἐφίημι'];['v3saia---']
822;ἐφράζετο;['φράζω'];['v3siim---']
823;ἐχάλασσε;['χαλάω'];['v3saia---']
824;ἐχολώσατο;['χολόω'];['v3saim---']
825;ἐχρίμψατο;['χρίμπτω'];['v3saim---']
826;ἐῶσιν;['ἐάω'];['v3ppia---']
827;ἑ;['ἕ'];['p-s---ca-']
828;ἕδος;['ἕδος'];['n-s---nn-', 'n-s---na-']
829;ἕκαστος;['ἕκαστος'];['p-s---mn-']
830;ἕλεσθε;['αἱρέω'];['v2paim---']
831;ἕλκων;['ἕλκω'];['v-sppamn-']
832;ἕντο;['ἵημι'];['v3paim---']
833;ἕξετε;['ἔχω'];['v2pfia---']
834;ἕξετ’;['ἔχω'];['v2pfia---', 'v3sfim---']
835;ἕποντο;['ἕπομαι'];['v3piim---']
836;ἕρματα;['ἕρμα'];['n-p---na-']
837;ἑδράων;['ἕδρα'];['n-p---fg-']
838;ἑκάεργε;['ἑκάεργος'];['a-s---mv-']
839;ἑκάεργος;['ἑκάεργος'];['a-s---mn-']
840;ἑκάστῳ;['ἕκαστος'];['p-s---md-']
841;ἑκάτερθε;['ἑκάτερθε'];['d--------']
842;ἑκάτοιο;['ἕκατος'];['n-s---mg-']
843;ἑκαέργου;['Ἑκάεργος'];['a-s---mg-']
844;ἑκατηβελέταο;['ἑκατηβελέτης'];['n-s---mg-']
845;ἑκατηβόλος;['ἑκατηβόλος'];['a-s---mn-']
846;ἑκατηβόλ’;['ἑκατηβόλος'];['a-s---mv-']
847;ἑκατόμβας;['ἑκατόμβη'];['n-p---fa-']
848;ἑκηβόλον;['ἑκηβόλος'];['a-s---ma-']
849;ἑκόντες;['ἑκών'];['a-p---mn-']
850;ἑλίσσετο;['ἑλίσσω'];['v3siim---']
851;ἑλκεχίτωνες;['ἑλκεχίτων'];['a-p---mn-']
852;ἑλοῦσα;['αἱρέω'];['v-sapafn-']
853;ἑοῖο;['ἑός'];['a-s---mg-']
854;εἰ;['εἰ'];['c--------']
855;εἴ;['εἰ'];['c--------']
856;εἴη;['εἰμί'];['v3spoa---']
857;εἴπῃ;['λέγω'];['v3sasa---']
858;εἴπω;['λέγω'];['v1sasa---']
859;εἴρηταί;['λέγω'];['v3srim---']
860;εἶδαρ;['εἶδαρ'];['n-s---na-']
861;εἶδος;['εἶδος'];['n-s---na-']
862;εἶεν;['εἰμί'];['v3ppoa---']
863;εἶναι;['εἰμί'];['v--pna---']
864;εἶπέ;['λέγω'];['v3saia---']
865;εἶσι;['ἔρχομαι'];['v3spia---']
866;εἰδήσετε;['ὁράω'];['v2pfia---']
867;εἰδόμενος;['εἴδομαι'];['v-sppmmn-']
868;εἰδυῖαν;['οἶδα'];['v-srpafa-']
869;εἰδῶ;['οἶδα'];['v1srsa---']
870;εἰλυμένος;['εἰλύω'];['v-srpmmn-']
871;εἰμι;['εἰμί'];['v1spia---']
872;εἰμὶ;['εἰμί'];['v1spia---']
873;εἰν;['ἐν'];['r--------']
874;εἰποῦσ’;['λέγω'];['v-sapafn-']
875;εἰπὼν;['λέγω'];['v-sapamn-']
876;εἰς;['εἰς'];['r--------']
877;εἰσαγάγοιτο;['εἰσάγω'];['v3saom---']
878;εἰσαφίκανες;['εἰσαφικάνω'];['v2siia---']
879;εἰσοράασθαι;['εἰσοράω'];['v--pnm---']
880;εἰσορόων;['εἰσοράω'];['v-sppamn-']
881;εἰσορόωντες;['εἰσοράω'];['v-pppamn-']
882;εἵλοντο;['αἱρέω'];['v3paim---']
883;εἵματ’;['εἷμα'];['n-p---na-']
884;εἷλε;['αἱρέω'];['v3saia---']
885;εἷσεν;['ἵζω'];['v3saia---']
886;εὔβων;['εὔβως'];['a-s---mn-']
887;εὔμηλον;['εὔμηλος'];['a-s---ma-']
888;εὔυμνον;['εὔυμνος'];['a-s---ma-']
889;εὔχεσθαι;['εὔχομαι'];['v--pnm---']
890;εὔχομαι;['εὔχομαι'];['v1spim---']
891;εὔχονθ’;['εὔχομαι'];['v3piim---']
892;εὔχονται;['εὔχομαι'];['v3ppim---']
893;εὖ;['εὖ'];['d--------']
894;εὖτε;['εὖτε'];['c--------']
895;εὖτ’;['εὖτε'];['c--------']
896;εὐδείελον;['εὐδείελος'];['a-s---fa-']
897;εὐεργής;['εὐεργής'];['a-s---fn-']
898;εὐίππῳ;['εὔϊππος'];['a-s---md-']
899;εὐκτιμένη;['ἐυκτίμενος'];['a-s---fn-']
900;εὐλείμων;['εὐλείμων'];['a-s---fn-']
901;εὐνὴν;['εὐνή'];['n-s---fa-']
902;εὐποίητα;['εὐποίητος'];['a-p---na-']
903;εὐρέα;['εὐρύς'];['a-p---na-']
904;εὐρέας;['εὐρύς'];['a-p---ma-']
905;εὐρέι;['εὐρύς'];['a-s---md-']
906;εὐρὺν;['εὐρύς'];['a-s---ma-']
907;εὐρὺς;['εὐρύς'];['a-s---mn-']
908;εὐρύοπα;['εὐρύοπα'];['a-s---mn-']
909;εὐρυοδείης;['εὐρυόδεια'];['n-s---fg-']
910;εὐχετόωνται;['εὐχετάομαι'];['v3ppim---']
911;εὐχόμεθ’;['εὔχομαι'];['v1piim---']
912;εὑρέμεναι;['εὑρίσκω'];['v--ana---']
913;ζάθεον;['ζάθεος'];['a-s---ma-', 'a-s---na-']
914;ζατρεφέα;['ζατρεφής'];['a-s---fa-']
915;ζείδωρον;['ζείδωρος'];['a-s---fa-']
916;ζηλοσύνῃ;['ζηλοσύνη'];['n-s---fd-']
917;ζητεύων;['ζητεύω'];['v-sppamn-']
918;ζώειν;['ζάω'];['v--pna---']
919;ζώουσα;['ζάω'];['v-sppafn-']
920;ζώουσ’;['ζάω'];['v3ppia---']
921;ἢ;['ἤ'];['c--------']
922;ἤ;['ἤ'];['c--------']
923;ᾔσχυνε;['αἰσχύνω'];['v3saia---']
924;ἤγαγεν;['ἄγω'];['v3saia---']
925;ἤγαγες;['ἄγω'];['v2saia---']
926;ἤγαγον;['ἄγω'];['v1saia---']
927;ἤιε;['ἔρχομαι'];['v3siia---']
928;ἤι’;['ἔρχομαι'];['v3siia---']
929;ἤλυθε;['ἔρχομαι'];['v3saia---']
930;ἤματα;['ἦμαρ'];['n-p---na-']
931;ἤματι;['ἦμαρ'];['n-s---nd-']
932;ἤνθησ’;['ἀνθέω'];['v3saia---']
933;ἤνωγον;['ἄνωγα'];['v3piia---']
934;ἤπειρόνδε;['ἤπειρόνδε'];['d--------']
935;ἤπειρον;['ἤπειρος'];['n-s---fa-']
936;ἦ;['ἠμί', 'ἦ'];['v3siia---', 'c--------', 'g--------']
937;ἦα;['εἰμί'];['v1siia---']
938;ἦλθ’;['ἔρχομαι'];['v3saia---']
939;ἦμαρ;['ἦμαρ'];['n-s---na-']
940;ἦρχε;['ἄρχω'];['v3siia---']
941;ἦσαν;['εἰμί'];['v3piia---']
942;ἦτορ;['ἦτορ'];['n-s---na-']
943;ἠγαθέη;['ἠγάθεος'];['a-s---fn-']
944;ἠγερέθονται;['ἠγερέθομαι'];['v3ppim---']
945;ἠδὲ;['ἠδέ'];['c--------']
946;ἠδ’;['ἠδέ'];['c--------']
947;ἠέ;['ἤ'];['c--------']
948;ἠέλιόν;['ἥλιος'];['n-s---ma-']
949;ἠελίοιο;['ἥλιος'];['n-s---mg-']
950;ἠεροειδέι;['ἠεροειδής'];['a-s----d-']
951;ἠλάσκαζες;['ἠλασκάζω'];['v2siia---']
952;ἠλέκτωρ;['ἠλέκτωρ'];['n-s---mn-']
953;ἠμαθόεντα;['ἠμαθόεις'];['a-s---ma-']
954;ἠμαθοέντα;['ἠμαθοέις'];['a-s---ma-']
