;form;lemmi;postag
105;Κηφισσὸν;['Κηφισσός'];['n-s---ma-']
106;Κλάρος;['Κλάρος'];['n-s---mn-']
107;Κνίδος;['Κνίδος'];['n-s---fn-']
108;Κνωσὸν;['Κνωσός'];['n-s---ma-']
109;Κνωσοῦ;['Κνωσσός'];['n-s---fg-']
110;Κόως;['Κῶς'];['n-s---fn-']
111;Κοίοιο;['Κοῖος'];['n-s---mg-']
112;Κρήτη;['Κρήτη'];['n-s---fn-']
113;Κρήτης;['Κρήτη'];['n-s---fg-']
114;Κρῆτες;['Κρής'];['n-p---mn-']
115;Κρητῶν;['Κρής'];['n-p---mg-']
116;Κρίσῃ;['Κρῖσα'];['n-s---fd-']
117;Κρίσην;['Κρῖσα'];['n-s---fa-']
118;Κρίσης;['Κρῖσα'];['n-s---fg-']
119;Κρισαίων;['Κρισαῖος'];['a-p---mg-']
120;Κρόνου;['Κρόνος'];['n-s---mg-']
121;Κρονίδης;['Κρονίδης'];['n-s---mn-']
122;Κρουνοὺς;['Κρουνοί'];['n-p---fa-']
123;Κύνθιον;['Κύνθος'];['a-s---ma-']
124;Κύνθου;['Κύνθος'];['n-s---mg-']
125;Κωρύκου;['Κώρυκος'];['n-s---mg-']
126;Λακωνίδα;['Λακωνίς'];['n-s---fa-']
127;Λέκτον;['Λέκτον'];['n-s---na-']
128;Λέσβος;['Λέσβος'];['n-s---fn-']
129;Λευκίπποιο;['Λεύκιππος'];['n-s---mg-']
130;Λευκίππῳ;['Λεύκιππος'];['n-s---md-']
131;Λῆμνος;['Λῆμνος'];['n-s---fn-']
132;Ληλάντῳ;['Λήλαντον'];['n-s---nd-']
133;Λητοῖ;['Λητώ'];['n-s---fv-']
134;Λητοῦς;['Λητώ'];['n-s---fg-']
135;Λητὼ;['Λητώ'];['n-s---fa-', 'n-s---fn-']
136;Λητώ;['Λητώ'];['n-s---fa-', 'n-s---fn-']
137;Λιλαίηθεν;['Λιλαίηθεν'];['d--------']
138;Λυκίην;['Λυκία'];['n-s---fa-']
139;Μάκαρος;['Μάκαρ'];['n-s---mg-']
140;Μάλειαν;['Μάλεια'];['n-s---fa-']
141;Μερόπων;['Μέροψ'];['a-p---mg-']
142;Μῃονίην;['Μῃονίη'];['n-s---fa-']
143;Μίλητός;['Μίλητος'];['n-s---fn-']
144;Μίλητον;['Μίλητος'];['n-s---fa-']
145;Μίμας;['Μίμας'];['n-s---mn-']
146;Μινωίου;['Μινώϊος'];['a-s---mg-']
147;Μοῦσα;['Μοῦσα'];['n-s---fn-']
148;Μοῦσαι;['Μοῦσα'];['n-p---fn-']
149;Μυκάλης;['Μυκάλη'];['n-s---fg-']
150;Μυκαλησσὸν;['Μυκαλησσός'];['n-s---fa-']
151;Νάξος;['Νάξος'];['n-s---fn-']
152;Νηρῆος;['Νηρεύς'];['n-s---mg-']
153;Νότος;['Νότος'];['n-s---mn-']
154;Ὄλυμπον;['Ὄλυμπος'];['n-s---ma-']
155;Ὀγχηστὸν;['Ὀγχηστός'];['n-s---ma-']
156;Ὀλύμπια;['Ὀλύμπιος'];['a-p---na-']
157;Ὀλύμπῳ;['Ὄλυμπος'];['n-s---md-']
158;Ὀρτυγίῃ;['Ὀρτυγία'];['n-s---fd-']
159;Οὐλύμποιο;['Ὄλυμπος'];['n-s---mg-']
160;Οὐρανὸς;['Οὐρανός'];['n-s---mn-']
161;Πάρος;['Πάρος'];['n-s---fn-']
162;Παρνησὸν;['Παρνασός'];['n-s---ma-']
163;Παρνησοῖο;['Παρνασός'];['n-s---mg-']
164;Πειρεσίαι;['Πειρεσία'];['n-p---fn-']
165;Πελοπόννησον;['Πελοπόννησος'];['n-s---fa-']
166;Πεπάρηθος;['Πεπάρηθος'];['n-s---mn-']
167;Περραιβούς;['Περραιβός'];['n-p---ma-']
168;Πηλίου;['Πήλιον'];['n-s---ng-']
169;Πιερίην;['Πιερία'];['n-s---fa-']
