form;lemma;postag
ἀνοιξάντων;['ἀνοίγω'];['v-papamg-']
παραγίνονται;['παραγίγνομαι'];['v3ppie---']
τιμωρέων;['τιμωρέω'];['v-sppamn-']
Καδμείων;['Καδμεῖος'];['n-p---mg-']
θεῖν;['θέω'];['v--pna---']
πυθομένου;['πυνθάνομαι'];['v-sappmg-']
Γρυπὸν;['γρυπός'];['a-s---ma-']
προκεκριμένα;['προκρίνω'];['v-prpenn-']
συμπίνειν;['συμπίνω'];['v--pna---']
Σικελιώτου;['Σικελιώτης'];['a-s---mg-']
πτώματος;['πτῶμα'];['n-s---ng-']
στρατευσάντων;['στρατεύω'];['v-papamg-']
αὐτούς;['αὐτός'];['p-p---ma-', 'a-p---ma-']
πλεῖόν;['πλέω'];['v-sppana-']
ἀπηλλάγης;['ἀπαλλάσσω'];['v2saip---']
ἀσυνδήλους;['ἀσύνδηλος'];['a-p---ma-']
δεηθέντος;['δέω'];['v-sappmg-']
κολούοντες;['κολούω'];['v-pppamn-']
ἀγρίων;['ἄγριος'];['a-p---ng-']
περιμείναντες;['περιμένω'];['v-papamn-']
Λεωτυχίδην;['Λεωτυχίδης'];['n-s---ma-']
πυνθανόμενοι;['πυνθάνομαι'];['v-pppemn-']
κατέδησε;['καταδέω'];['v3saia---']
ἡσθείη;['ἥδομαι'];['v3saop---']
ἀπόπτου;['ἄποπτος'];['a-s---ng-']
προσεσπέρια;['προσεσπέριος'];['a-p---na-']
καλλιτεχνίαν;['καλλιτεχνία'];['n-s---fa-']
καταψηφίσεως;['καταψήφισις'];['n-s---fg-']
αὑτῶν;['ἑαυτοῦ'];['p-p---ng-', 'p-p---mg-']
πράττοντα;['πράσσω'];['v-sppama-']
δῆμος;['δῆμος'];['n-s---mn-']
στρατόπεδον;['στρατόπεδον'];['n-s---na-', 'n-s---nn-']
σκολιοῦ;['σκολιός'];['a-s---ng-']
οἰκετέων;['οἰκέτης'];['n-p---mg-']
πρῶτόν;['πρῶτος'];['a-s---mas']
ᾄδειν;['ἀείδω'];['v--pna---']
ἀκροβολισμούς;['ἀκροβολισμός'];['n-p---ma-']
Πέρσης;['Πέρσης'];['n-s---mn-', 'n-p---fn-']
ἀδικώτατοι;['ἄδικος'];['a-p---mns']
ἀδικώτατόν;['ἄδικος'];['a-s---nns']
χώσας;['χόω'];['v-sapamn-']
βούλεσθʼ;['βούλομαι'];['v2ppie---']
τετραυματίκασι;['τραυματίζω'];['v3pria---']
Μαράκανδα;['Μαράκανδα'];['n-s---fa-']
ἀπαναστάντες;['ἀπανίστημι'];['v-papamn-']
θυμουμένην;['θυμόω'];['v-sppefa-']
ἀποφαίνεσθαι;['ἀποφαίνω'];['v--pne---']
τεσσεράκοντά;['τεσσαράκοντα'];['m--------']
πολυχρόνιον;['πολυχρόνιος'];['a-s---fa-']
αἰθριώτατος;['αἴθριος'];['a-s---mns']
Φικολνέους;['Φικόλνεοι'];['n-p---ma-']
ἀποκτιννύναι;['ἀποκτείνω'];['v--pna---']
συμμιξάντων;['συμμίγνυμι'];['v-papamg-']
διαφέρειν;['διαφέρω'];['v--pna---']
ἕῳ;['ἠώς'];['n-s---fd-']
ἀδυνάτως;['ἀδύνατος'];['d--------']
Αἰκουλάνῳ;['Αἰκούλανον'];['n-s---nd-']
ἐδικασάμεθα;['δικάζω'];[]
μεντἂν;['μέντοι ἄν'];['d--------']
χρεόν;['χρεών'];['n-s---nn-']
ἄνθη;['ἄνθη'];['n-s---fn-']
κατεῖδε;['καθοράω'];['v3saia---']
σωθῆναί;['σῴζω'];['v--anp---']
πράγμασι;['πρᾶγμα'];['n-p---nd-']
πρηθῆναι;['πιπράσκω'];['v--anp---']
ἦσάν;['εἰμί'];[]
ὁμαλοῦς;['ὁμαλής'];['a-s---fg-']
ἀψύχοις;['ἄψυχος'];['a-p---md-']
δίκην;['δίκη'];['n-s---fa-']
Τρωικοῦ;['Τρωικός'];['a-s---mg-']
μετρίαν;['μέτριος'];['a-s---fa-']
προϊών;['πρόειμι'];['v-sppamn-']
ἀνεπιτηδειοτάτοις;['ἀνεπιτήδειος'];['a-p---mds']
προσίοιτο;['πρόσειμι'];['v3spoe---']
Λιλυβαίταις;['Λιλυβαίτης'];['n-p---md-']
κολακευθεὶς;['κολακεύω'];['v-sappmn-']
πλείοσι;['πολύς'];['a-p---mdc', 'a-p---fdc']
καθησύχασαν;['καθησυχάζω'];['v3paia---']
γίγαντας;['γίγας'];['n-p---ma-']
προῄρημαι;['προαιρέω'];['v1srie---']
σπένδοντος;['σπένδω'];['v-sppamg-']
διαίτας;['δίαιτα'];['n-p---fa-']
ἐλαττωθὲν;['ἐλασσόω'];['v-sappnn-']
ἐπτοῆσθαι;['πτοέω'];['v--rne---']
δείξειν;['δείκνυμι'];['v--fna---']
εἰρήσθω;['λέγω'];['v3srme---']
κατείρηκεν;['καταλέγω'];['v3sria---']
Πελοποννησίους;['Πελοποννήσιος'];['a-p---ma-', 'n-p---ma-']
διεφθαρμένοισι;['διαφθείρω'];['v-prpemd-']
κατεπαγγέλλεται;['κατεπαγγέλλομαι'];['v3spie---']
χειμῶνος;['χειμών'];['n-s---mg-']
διακορεῖς;['διακορής'];['a-p---ma-']
οὐδέποτε;['οὐδέποτε'];['d--------']
Ἄγιδος;['Ἄγις'];['n-s---mg-']
αὐστηρὸν;['αὐστηρός'];['a-s---na-']
μεγαλομίσθων;['μεγαλόμισθος'];['a-p---fg-']
διαλαβὼν;['διαλαμβάνω'];['v-sapamn-']
φωτός;['φώς'];['n-s---mg-']
εὐρόπως;['εὔροπος'];['d--------']
ἐβουλεύσαντο;['βουλεύω'];[]
σχεδὸν;['σχεδόν'];['d--------']
ἐπολέμησαν;['πολεμέω'];['v3paia---']
ποιέεσκον;['ποιέω'];['v3piia---']
ἐκλήθησαν;['καλέω'];[]
Μνησιφίλου;['Μνησίφιλος'];['n-s---mg-']
θεόν;['θεός'];[]
ἀπομίσθων;['ἀπόμισθος'];['a-p---mg-']
σφυρόν;['σφυρόν'];['n-s---na-']
ἀνακλάσαντα;['ἀνακλάω'];['v-sapama-']
ἐπαγκρατίασεν;['παγκρατιάζω'];[]
εὐδαιμονεῖν;['εὐδαιμονέω'];['v--pna---']
πρώτιστα;['πρώτιστος'];['a-p---na-']
πριάμενον;['πρίαμαι'];['v-sppmma-']
ἐκπεσόντων;['ἐκπίπτω'];['v-papamg-']
κεχῶσθαι;['χόω'];['v--rne---']
μεταβάλλονταί;['μεταβάλλω'];['v3ppie---']
διαχάσασθαι;['διαχάζομαι'];['v--anm---']
ἡγεμὼν;['ἡγεμών'];['n-s---fn-']
ταύταις;['οὗτος'];['p-p---fd-']
ἐδίδαξεν;['διδάσκω'];[]
Καρμήλου;['Κάρμηλος'];['n-s---ng-']
Λυσίππου;['Λύσιππος'];['n-s---mg-']
περιῆλθεν;['περιέρχομαι'];['v3saia---']
φορολογήσας;['φορολογέω'];['v-sapamn-']
τεθνάκαντι;['θνῄσκω'];['v3pria---']
ἵλεων;['ἴλαος'];['a-s---ma-']
διασῴζονται;['διασῴζω'];['v3ppie---']
δοκοῦντος;['δοκέω'];['v-sppamg-']
παρέχοντες;['παρέχω'];['v-pppamn-']
προπέμψας;['προπέμπω'];['v-sapamn-']
ἀθλιώτεροι;['ἄθλιος'];['a-p---mnc']
διατιθέμενος;['διατίθημι'];['v-sppemn-']
προσφάτως;['πρόσφατος'];['d--------']
τριττοῖς;['τρισσός'];['a-p---md-']
προεσάξαντο;['προσάσσω'];['v3paim---']
Ἀντικύρας;['Ἀντικύρα'];['n-s---fg-']
θεραπεύσοντος;['θεραπεύω'];['v-sfpamg-']
ἀναξίως;['ἀνάξιος'];['d--------']
καταρρωδήσας;['κατορρωδέω'];['v-sapamn-']
Γαλααδίτας;['Γαλααδίτης'];['n-p---ma-']
Κεῖος;['Κεῖος'];['a-s---mn-']
εὐσταθῶς;['εὐσταθής'];['d--------']
μικρὰν;['μικρός'];['a-s---fa-']
κάνδυν;['κάνδυς'];['n-s---fa-']
ἀφρόνως;['ἄφρων'];['d--------']
Θεόπομπον;['Θεόπομπος'];['n-s---ma-']
καιρῶν;['καιρός'];['n-p---mg-']
φιλόνεικον;['φιλόνεικος'];['a-s---nn-']
διωρίσασθε;['διορίζω'];['v2paim---']
κανόνι;['κανών'];['n-s---md-']
μεμνημένῳ;['μιμνῄσκω'];['v-srpemd-']
πορφυρᾶ;['πορφύρεος'];['a-p---nn-']
Παπυρῶνα;['παπυρών'];['n-s---ma-']
ἀμυνομένῳ;['ἀμύνω'];['v-sppemd-']
διαπρεσβεύσεις;['διαπρέσβευσις'];['n-p---fa-']
κατοψόμενος;['καθοράω'];['v-sfpmmn-']
φαίνεσθε;['φαίνω'];['v2ppie---']
βάρει;['βᾶρις'];['n-s---fd-']
Καλλαίσχρου;['Κάλλαισχρος'];['n-s---mg-']
μυρρίνης;['μυρσίνη'];['n-s---fg-']
μεθυσθέντες;['μεθύσκω'];['v-pappmn-']
προπέμπων;['προπέμπω'];['v-sppamn-']
πονῆρίας;['πονηρία'];[]
δέοντ᾽;['δέω'];['v-pppann-']
ἁρμαμάξης;['ἁρμάμαξα'];['n-s---fg-']
μικροῖς;['μικρός'];['a-p---nd-']
χρέο;['χράω'];['v2spme---']
κατάρχει;['κατάρχω'];['v3spia---']
ἀπημφιεσμένας;['ἀπαμφιέννυμι'];['v-prpefa-']
Κελτικὴν;['Κελτικός'];['a-s---fa-']
προρρηθέντων;['προλέγω'];['v-pappng-']
βασίλεια;['βασίλειον', 'βασίλεια'];['n-p---nn-', 'n-p---na-', 'n-s---fn-']
Ξενοκράτην;['Ξενοκράτης'];['n-s---ma-']
κοῖλον;['κοῖλος'];['a-s---na-', 'a-s---ma-']
ἀποδεδηλῶσθαι;['ἀποδηλόω'];['v--rne---']
κολακεύων;['κολακεύω'];['v-sppamn-']
Περσέων;['Πέρσης'];['n-p---mg-']
Θηβαιέος;['Θηβαιεύς'];['n-s---mg-']
διασώζουσαι;['διασῴζω'];['v-pppafn-']
πιστεύσας;['πιστεύω'];['v-sapamn-']
καταμεμειγμένα;['καταμίγνυμι'];['v-prpenn-']
ἀκεῖνοί;['ἐκεῖνος'];['a-p---mn-']
μένων;['μένω'];['v-sppamn-']
προκοπῆς;['προκοπή'];['n-s---fg-']
συνθησομένους;['συντίθημι'];['v-pfpmma-']
ἀποδίδωμι;['ἀποδίδωμι'];['v1spia---']
ἐκχεόμενον;['ἐκχέω'];['v-sppema-']
Θεσπιαῖς;['Θεσπιαί'];['n-p---fd-']
πρίηται;['πρίαμαι'];['v3spse---']
βιασόμενοι;['βιάζω'];['v-pfpmmn-']
δικαιοτάτην;['δίκαιος'];['a-s---fas']
χαίρειν;['χαίρω'];['v--pna---']
ἀπελὼν;['ἀφαιρέω'];['v-sapamn-']
Μιθριδάτης;['Μιθριδάτης'];['n-s---mn-']
προσάγοντες;['προσάγω'];['v-pppamn-']
μισεῖ;['μισέω'];['v3spia---']
Γλυκέρα;['Γλυκέρα'];['n-s---fn-']
γράψαι;['γράφω'];['v--ana---']
καταλύσειν;['καταλύω'];['v--fna---']
βουκόλῳ;['βουκόλος'];['n-s---md-']
σαγάρις;['σαγάρις'];['n-p---fa-']
χρυσέῳ;['χρύσεος'];['a-s---nd-']
Μακεδονίαν;['Μακεδονία'];['n-s---fa-']
φιλοτιμότερον;['φιλότιμος'];['a-s---nac']
οἰκονομίας;['οἰκονομία'];['n-s---fg-']
ἀπορίῃσι;['ἀπορία'];['n-p---fd-']
ἐκόπησαν;['κόπτω'];['v3paip---']
προσκτήσαιτο;['προσκτάομαι'];['v3saoe---']
προσεκύνησε;['προσκυνέω'];['v3saia---']
Αἰγοσθενεῖ;['Αἰγοσθενεύς'];['a-s---md-']
Οὐηστίνους;['Οὐηστῖνοι'];['n-p---ma-']
ἐκείνου;['εκεῖνος'];['p-s---mg-', 'p-s---ng-']
Βαρβάρων;['βάρβαρος'];['n-p---mg-']
εἰσήγγειλα;['εἰσαγγέλλω'];['v1saia---']
πολλὸν;['πολύς'];['a-s---na-', 'a-s---ma-', 'a-s---nn-']
Μνασέας;['Μνασέας'];['n-s---mn-']
πεμφθεὶς;['πέμπω'];['v-sappmn-']
ἀπολέσθαι;['ἀπόλλυμι'];['v--anm---']
λοιποί;['λοιπός'];['a-p---mn-']
ἐκπεσεῖν;['ἐκπίπτω'];['v--ana---']
προερεῖν;['προλέγω'];['v--fna---']
τέταγμαι;['τάσσω'];['v1srie---']
χρυσῷ;['χρυσός', 'χρύσεος'];['n-s---md-', 'a-s---md-', 'a-s---nd-']
παραμείναντα;['παραμένω'];['v-papana-']
ἀνισταμένους;['ἀνίστημι'];['v-pppema-']
παραπεπαικέναι;['παραπαίω'];['v--rna---']
δείκνυσθαι;['δείκνυμι'];['v--pne---']
συμφορώτατον;['σύμφορος'];['a-s---nas']
διεπράξαντο;['διαπράσσω'];['v3paim---']
πυρίνου;['πύρινος'];['a-s---mg-']
οἰκισάντων;['οἰκίζω'];['v-papamg-']
καὶ;['καί'];[]
>;['punc'];['u--------']
Νομάσι;['Νομάς'];['n-p---md-']
ἀήττητος;['ἀήσσητος'];['a-s---fn-']
τοῦτ᾽;['οὗτος'];['p-s---na-']
ὄσσοις;['ὅσος'];['n-p---nd-']
τριηκάδας;['τριακάς'];['n-p---fa-']
λίβες;['λίψ'];['n-p---mn-']
πραξικοπήσας;['πραξικοπέω'];['v-sapamn-']
δυσωποῦντα;['δυσωπέω'];['v-pppann-']
χώσουσιν;['χόω'];[]
διαίτης;['δίαιτα'];['n-s---fg-']
κατεβρώθησαν;['καταβιβρώσκω'];['v3paip---']
Ἀριαίθῳ;['Ἀρίαιθος'];['n-s---md-']
Κύκλωπι;['Κύκλωψ'];['n-s---md-']
πληγῆναι;['πλήσσω'];['v--anp---']
Καρίου;['Κάριος'];['a-s---mg-']
γυμνασιάρχαι;['γυμνασιάρχης'];['n-p---mn-']
προγεγονότων;['προγίγνομαι'];['v-prpang-', 'v-prpamg-']
λόγιμον;['λόγιμος'];['a-s---nn-']
πλίνθοισι;['πλίνθον'];['n-p---nd-']
Σάρδιες;['Σάρδεις'];['n-p---fn-']
φοβῇ;['φοβέω'];['v2spie---']
πρῶτά;['πρῶτος'];['a-p---nas']
εὐδαιμονέστεροί;['εὐδαίμων'];['a-p---mnc']
κηδεμονικώτερος;['κηδεμονικός'];['a-s---mnc']
Πάκορος;['Πάκορος'];['n-s---mn-']
ξαίνοντι;['ξαίνω'];['v-sppamd-']
ἀστῆς;['ἀστή'];['n-s---fg-']
ταῦτʼ;['οὗτος'];['p-p---na-']
τέλος;['τέλος'];['n-s---na-']
Μερόλαν;['Μερούλας'];['n-s---ma-']
θύουσαν;['θύω'];['v-sppafa-']
αὐξηθῆναι;['αὐξάνω'];['v--anp---']
οἵας;['οἷος'];['a-p---fa-']
προεστώτων;['προίστημι'];['v-prpamg-']
φυγαδοθήρας;['φυγαδοθήρας'];['n-p---ma-']
ἀνεῖλεν;['ἀναιρέω'];['v3saia---']
Δροσίδα;['Δροσίς'];['n-s---fa-']
εἰσίῃ;['εἴσειμι'];['v3spsa---']
πρόσεστι;['πρόσειμι'];['v3spia---']
ηὐξεῖτο;['αὐξάνω'];['v3siip---']
Ἀγησιλάῳ;['Ἀγησίλαος'];['n-s---md-']
ἐκμανεὶς;['ἐκμαίνω'];['v-sappmn-']
διεπέπρακτο;['διαπράσσω'];['v3slie---']
Φιλοποίμενος;['Φιλοποίμην'];['n-s---mg-']
παρατυχὼν;['παρατυγχάνω'];['v-sapamn-']
οἴκοι;['οἴκοι'];['d--------']
συγκατῆλφεν errore?;['συγκατέρχομαι'];['v3saia---']
Τιώρα;['Τιώρα'];['n-s---fn-']
κρείττους;['ἀγαθός'];['a-p---mnc', 'a-p---mac']
ἔλαβον;['λαμβάνω'];['v1saia---', 'v3paia---']
ἀπεθώμαζε;['ἀποθαυμάζω'];['v3siia---']
ὑποσχεῖν;['ὑπέχω'];['v--ana---']
πρώρρας;['πρῶρρα'];['n-s---fg-']
Βοσπορείῳ;['βοσπορεῖον'];['n-s---nd-']
ὁδοῦ;['ὁδός'];['n-s---fg-']
ἀνοίγουσα;['ἀνοίγω'];['v-sppafn-']
ἐγγύτερόν;['ἐγγύς'];['a-s---nnc']
ἀποδόντα;['ἀποδίδωμι'];['v-sapama-']
ἀκροδρύων;['ἀκρόδρυα'];['n-p---ng-']
αἰσθάνεσθαι;['αἰσθάνομαι'];['v--pnm---']
γείτονας;['γείτων'];['n-p---ma-']
παραμῖξαι;['παραμίγνυμι'];['v--ana---']
διηγοῦντο;['διηγέομαι'];['v3piie---']
παρεμβολῆς;['παρεμβολή'];['n-s---fg-']
Δώρων;['Δῶρα'];['n-p---ng-']
ἀπολείπεσθαι;['ἀπολείπω'];['v--pne---']
ξενίζων;['ξενίζω'];['v-sppamn-']
καταστρεψάμενος;['καταστρέφω'];['v-sapmmn-']
συνέκρουε;['συγκρούω'];['v3siia---']
εὐτύχημα;['εὐτύχημα'];['n-s---nn-']
Γνώσιος;['Γνώσιος'];['n-s---mg-']
παρεῖδες;['παροράω'];['v2saia---']
γεννηθῆναι;['γεννάω'];['v--anp---']
σκέψηται;['σκέπτομαι'];['v3sase---']
Ἀχαΐα;['Ἀχαία'];['n-s---fn-']
κατά;['κατά'];['r--------']
καταταχεῖν;['καταταχέω'];['v--pna---']
προσπεσοῦσα;['προσπίπτω'];['v-sapafn-']
καθηκούσαις;['καθήκω'];['v-pppafd-']
Τελμεσσοῦ;['Τελμεσσός'];['n-s---mg-']
διεμαρτυρήθη;['διαμαρτυρέω'];['v3saip---']
ἀμὲ;['ἐμός'];['p-s---md-']
ἀπηντηκὼς;['ἀπαντάω'];['v-srpamn-']
γειτόνων;['γείτων'];['n-p---mg-']
παραγενόμενοι;['παραγίγνομαι'];['v-papmmn-']
